label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign
air;Source;[];[];[];[];[];[];[];nan;False;False
fuel;Source;[];[];[];[];[];[];[];nan;False;False
