,5,10,15,20,25,30
900.0,199.26292819180176,209.59046568630018,192.2567261627925,169.28319675877725,145.25531101737315,121.53528650587572
1000.0,237.41634080791064,261.02571366566053,250.48079571238202,231.89749230348548,211.0355235252972,189.7493104974203
1110.0,280.0187339700086,318.55269724502983,315.66834763258856,302.0541134101689,284.78402300423244,266.26429228088745
1200.0,315.38013337780257,366.367351652143,369.8970704363034,360.4539628172243,346.20516001255254,330.0164373102366
1300.0,355.2190839476417,420.29991430569953,431.1093955558814,426.410493091041,415.6040973945198,402.07525908367546
1400.0,395.65391228398846,475.1023499490544,493.35330573996276,493.5137572843402,486.2391746136304,475.4432124552802
